F_CODE,F_NAME,F_SIZE,F_CAL,F_CARBO,F_PROTEIN,F_FAT,F_SUGAR,F_NA,F_COLE
P012617,토리오센베이 칼슘 센베이,30,34.27,8.31,0.35,0,0,47.77,0
P012618,토마토앤 올레가노 크래커,30,39.6,6.48,1.08,1.08,0.36,82.8,0
P012619,토스트 비스켓,30,34.2,5.94,1.17,0.41,0.63,0,0
P012620,토스트 비스킷,30,35.46,5.76,0.36,0.9,0.72,18,0
P012621,토스티토스,30,45,6.11,0.64,2.25,0,36.96,0
P012622,토우모로코시 스낵,30,40.68,7.24,0.36,1.15,0.07,48.6,0
P012623,토쿠노 밀크쿠키,30,49.82,5.46,0.64,2.89,5.14,1.61,1.61
P012624,토틸라 칩 솔트,30,43.92,5.76,0.54,2.09,0.07,37.8,0
P012625,토틸라 칩 치즈,30,43.92,5.76,0.54,2.09,0.18,58.68,0
P012626,토틸라 칩 칠리,30,43.92,5.76,0.54,2.09,0.18,58.68,0
P012627,토피 팝콘,20,14.95,3.05,0.21,0.21,1.71,12.74,1.58
P012628,토하토 건포도 스낵,30,33.75,6.86,0.48,0.48,0.28,16.31,0.76
P012629,토하토 카라멜 콘,10,5.71,0.57,0.05,0.36,0.26,2.17,0
P012630,토하토 푸룬 스낵,30,33.75,6.38,0.48,0.7,0.45,23.06,1.97
P012631,토하토 하비스트 녹차,30,45.69,5.88,0.59,2.22,1.52,27,0.35
P012632,토하토 하비스트 버터 토스트,30,45,6.09,0.52,2.08,1.73,48.12,1.04
P012633,토하토 하비스트 참깨,30,51.23,5.47,0.59,2.67,1.38,28.73,0.28
P012634,통멸치 라이스칩,30,97.42,17.12,1.4,2.92,0.8,103,2.45
P012635,통밀 크래커,30,43.2,6.48,1.08,1.26,0,50.4,0
P012636,통밀 크래커,30,37.8,6.12,1.08,0.97,0,64.8,0
P012637,통아몬드캔디,10,58.42,7.29,0.47,3.04,0.44,10.86,0
P012638,투바이투 딸기 비스켓,30,45.72,6.12,0.47,2.23,2.05,27,0
P012639,투바이투 런치 박스 비스킷 세트,30,44.28,5.76,0.54,2.16,1.8,24.12,6.48
P012640,투바이투 바닐라 비스킷,30,46.8,6.12,0.47,2.27,2.02,27,0
P012641,투바이투 토피 비스킷,30,46.08,6.12,0.47,2.23,1.91,27,0
P012642,투시롤 팝 캔디,10,3.53,0.88,0,0,0.75,0,0
P012643,투씨 팝스 미니어쳐,10,4,0.93,0,0,0.75,0,0
P012644,투치 롤 미즈 캔디,10,3.5,0.7,0.03,0.08,0.75,0.38,0
P012645,투치 후르츠향 롤 캔디,10,3.5,0.7,0,0,0.75,0.38,0
P012646,튀김가루,100,356,78.8,6.9,1.5,0,1044,0
P012647,트래디셔널 그리시니,30,33,7.8,0.3,0.45,0.3,78,0
P012648,트로피칼  태피 캔디,10,3.93,0.75,0,0.09,0.46,6.07,0
P012649,트로피칼 펀치향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0
P012650,트로피컬 과일향 캔디,10,3.93,1,0,0,0.75,0.36,0
P012651,트롤리 딸기향 구미젤리,10,2.93,0.73,0.05,0,0.6,0.37,0
P012652,트롤리 딸기향 퍼프젤리,10,3.08,0.74,0.05,0,0.6,0.13,0
P012653,트롤리 미니 애플링스,10,3.33,0.8,0.05,0,0.6,1,0
P012654,트롤리 브라이트 꿈틀이 젤리,10,3.16,0.74,0.05,0,0.6,0.53,0
P012655,트롤리 사우어 구미 캔디,10,3.33,0.8,0.05,0,0.6,1,0
P012656,트롤리 스파게티니 사우어,10,3.33,0.8,0.05,0,0.6,1,0
P012657,트롤리 카시스,10,3.33,0.8,0.05,0,0.6,1,0
P012658,트롤리 퀘걸스 구미젤리,10,3.16,0.74,0.05,0,0.6,0.53,0
P012659,트롤리 키스,10,3.33,0.8,0.05,0,0.6,1,0
P012660,트리탑 후르츠스넥,10,3.08,0.69,0.04,0,0.75,0.77,0
P012661,트리플 벨지안 초코 청크 쿠키,30,45.45,5.53,0.5,2.34,3.24,36,0
P012662,트리플초콜릿 마카다미아,30,45,5.32,0.41,2.45,3.27,14.32,4.09
P012663,트리플초콜릿 마카다미아 1차포장,30,45,5.32,0.41,2.45,3.27,14.32,4.09
P012664,트윈툭 라이트,30,45,5.76,0.68,2.16,0.04,92.16,0
P012665,튼튼케어 초유+칼슘,30,600,100,25,12.5,3,0,0
P012666,티 리프트,30,46.15,10.64,0.16,0.33,6.55,0,0
P012667,티노 디니스 다이너소어 캔디 링,10,3.5,0.9,0,0,0.75,0,0
P012668,티라미슈 트위스트 쿠키,30,48.75,5.62,0.38,2.62,3,19.88,0.75
P012669,티볼리 뮤즐리앤크랜베리 쿠키,30,42.3,5.7,0.6,1.8,2.1,5.7,0.6
P012670,티볼리 블루베리앤코코넛 쿠키,30,43.2,5.4,0.3,2.1,2.1,12,0.9
P012671,티카 칩스 멀켄,30,43.8,5.1,0.36,2.4,0,10.8,0
P012672,티카 칩스 파타고니아,30,42.9,5.1,0.32,2.4,0,16.02,0
P012673,티푸드 허니진저,30,43.2,6.48,0.72,1.69,2.48,28.8,3.6
P012674,티핀 오리지날,30,42.3,6.3,0.9,1.8,0.45,125.55,0
P012675,틴 블랑게리 버터 크리스프,30,39.81,6.23,0.62,1.32,3.81,25.96,5.54
P012676,틴 블랑게리 아몬드 씬,30,39.6,6.48,0.61,1.33,3.96,54,3.6
P012677,틴 플레미쉬 하우스,30,39.6,6.48,0.61,1.33,3.96,54,3.6
P012678,틴디 카푸치노 페이스트리,30,50.4,5.4,0.72,2.88,2.16,28.8,0
P012679,틴디 헤이즐넛 페이스트리,70,254.8,25.48,3.92,15.68,7.22,196,0
P012680,틸로스 무슬리,30,29.1,5.73,0.99,0.23,0.47,2.7,0
P012681,틸로스 스트로베리 크런치,30,39,6,0.9,1.2,1.5,13.5,0
P012682,틸로스 오트 필로우 & 초코,30,33.12,5.58,1.08,0.72,1.35,112.5,0
P012683,틸로스 오트 필로우 & 초콜릿,30,33.3,5.58,1.08,0.74,1.35,108,0
P012684,틸로스 유기농 무슬리,30,30,5.1,0.9,0.69,0.81,4.5,0
P012685,틸로스 유기농 초코 라이스,30,33.9,7.2,0.75,0.24,1.8,27,0
P012686,틸로스 유기농 콘플레이크,30,33,7.2,0.72,0.09,0.36,63,0
P012687,틸로스 유기농 허니볼,30,34.5,7.8,0.48,0.14,2.4,27,0
P012688,틸로스 퀵스 밀크,30,42.6,6,0.6,1.8,3.3,198,0
P012689,틸로스 크런치 무슬리,30,30.9,4.26,1.05,1.08,0.42,6.3,0
P012690,틸로스 프루츠 무슬리,30,46.5,7.5,2.28,0.81,2.28,30,0
P012691,파라인 크레커,30,44.64,5.98,0.72,1.98,1.08,49.68,0
P012692,파레뜨 브르통,30,45,4.5,0.45,2.7,1.8,35.55,9.45
P012693,파레뜨 솔로뇨,30,36.96,4.68,0.54,1.8,2.43,0.02,10.33
P012694,파스티케 디 산타마리아 노벨라,30,36.22,8.68,0.11,0.13,8.36,0,0
P012695,파스틸라 프룬앤월넛 260g,30,42,4.5,0.6,2.4,3.9,0.6,0
P012696,파에테포요틴,30,39,7.5,0.6,0.78,4.8,42,1.5
P012697,파워캡 레드피치,100,91.67,20.83,0,0.83,13.33,25,0
P012698,파워캡,100,87.5,16.67,0,2.08,13.33,25,0
P012699,파이러츠 부티 에이지드 화이트 체다,30,41.79,6.11,0.64,1.61,0,45,0
P012700,파인 잉글리쉬 배쓰 오벌,30,40.32,6.23,0.79,1.37,0.14,54,0
P012701,파인 잉글리쉬 워터 크래커,30,33.21,7.45,0.94,0.11,0.14,0.27,0
P012702,파인 잉글리쉬 휘트 핑거,30,45.27,5.76,0.58,2.2,2.2,27,0
P012703,파인애플 구미100,10,3.22,0.75,0.04,0,0.6,0.3,0
P012704,파인애플 마카다미아,30,39.38,4.5,0.28,2.25,1.69,19.69,5.62
P012705,파인애플 마카다미아 1차포장,30,39.38,4.5,0.56,2.25,1.69,19.69,5.62
P012706,파인애플 아이스,200,292.31,72.92,0.15,0.77,67.4,5.54,0
P012707,파인애플 크래커,30,46.5,4.5,2.4,1.2,0.6,105,0
P012708,파인애플향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0
P012709,파티 비스킷,30,47.43,6.3,0.65,2,2.16,7.2,0
P012710,파피스,30,33.9,7.2,0.6,0.3,3.3,0.6,0
P012711,팜온더로드 딸기큐브젤리,10,3.12,0.75,0.06,0,0.6,0,0
P012712,팜온더로드 아몬드머랭,30,47.7,5.04,1.26,2.52,0.83,12.78,0.54
P012713,팝코너 치즈 할라페뇨,30,41.79,6.11,0.64,1.61,0.32,36.96,0
P012714,팝코너스 케틀,30,40.18,6.75,0.64,1.12,0.64,33.75,0
P012715,팝콘 트리 카라멜 콘,20,18.75,3,0.25,0.62,1,16.88,0.62
P012716,팝콘너스 체다치즈맛,20,18.57,2.71,0.29,0.71,0.14,17.14,0
P012717,팝콘너스 카라멜맛,20,17.14,2.71,0.29,0.57,0.29,7.86,0
P012718,팝콘너스 케틀,20,17.86,3,0.29,0.5,0.29,15,0
P012719,팝피어스 벨기언 카라멜리시드 쿠키,10,4.73,0.73,0.07,0.17,0.3,3.5,0
P012720,팝피어스 트위스트,30,48,5.4,0.6,2.7,2.7,27.9,0
P012721,팥빙수컵,100,96,22.4,1.2,0.24,19.2,8,0
P012722,팥 연양갱,50,71.97,17.23,0.76,0,12.52,1.65,0
P012723,패션후르츠향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0
P012724,패이모스 아모스 초콜릿 칩,30,45.62,6.21,0.31,2.17,2.79,32.59,1.55
P012725,퍼프 허니,30,35.1,7.38,0.72,0.27,3.78,0,0
P012726,페퍼민트 껌,2,0.09,0.04,0,0,0,0,0
P012727,페퍼민트 캔디,10,3.75,0.94,0,0,0.75,1.25,0
P012728,페퍼민트향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0
P012729,페퍼스미스 레몬 껌,2,0.07,0.03,0,0,0,0,0
P012730,페퍼스미스 페퍼민트 껌,2,0.07,0.03,0,0,0,0,0
P012731,펜치라탄 믹스,30,45.9,2.7,1.8,2.7,0.6,108,0
P012732,포도 구미100,10,3.22,0.75,0.04,0,0.64,0.3,0
P012733,포도 구미젤리,10,3.4,0.8,0.05,0,0.6,0.13,0
P012734,포도향 캔디,10,3.75,0.94,0,0,0.75,1.25,0
P012735,포도향 트위스트,10,3.16,0.76,0.03,0.03,0.37,1.18,0
P012736,포도향 타피,10,4.05,0.9,0,0.05,0.52,0,0
P012737,포리피 스파이스,30,49.8,3.3,2.1,3.3,0.9,27,0
P012738,포리피 시오,30,51,3.6,1.8,3.3,0.9,15,0
P012739,포숑 고다치즈 크리스피,30,52.8,3.75,1.38,3.6,0.18,79.2,3.3
P012740,포숑 로즈마리 와퍼,30,47.73,5.1,0.79,2.67,0.16,106.09,6.74
P012741,포숑 씨 솔트 카라멜,10,4.67,0.73,0,0.17,0.4,0.67,0
P012742,포숑 어소트먼트 18 카라멜,10,4,0.73,0,0.13,0.67,0.67,0
P012744,포숑 팔레트 드 브르타뉴,30,49.09,5.4,0.98,2.62,2.13,26.18,11.45
P012745,포스틱,30,41.62,6.53,0.45,1.58,0.22,49.5,0
P012746,포시즌 바나나칩,30,47.25,5.46,0.32,3.21,3.21,0,3.21
P012747,포지 I300 초콜릿 비스킷,30,44.02,6.51,0.64,1.51,2.08,20.98,4.5
P012748,포지 I300 코코아 비스킷,30,45.82,5.99,0.67,2.08,1.36,23.4,4.5
P012749,포지 I300 크림&허니 비스킷,30,45,6.09,0.72,1.93,1.59,18,4.5
P012750,포커 바닐라 웨이퍼,30,46.8,6,0.3,2.4,3.6,13.5,0
P012751,포커 코코아 웨이퍼,30,45.6,5.4,0.6,2.4,3.6,13.5,0
P012752,포커 헤이즐넛 웨이퍼,30,46.8,5.7,0.6,2.4,3.3,13.5,0
P012753,포타포타야끼,30,33,6.27,0.27,0.76,1.66,52.91,0
P012754,포타포타야끼 미니,30,37.36,7.45,0.38,0.68,1.77,62.18,0
P012755,포타포타야키,30,38.4,7.26,0.42,0.84,1.5,74.4,0
P012756,포테라,30,54,4.68,0.27,3.78,1.08,63,0
P012758,포테이토 라이스 크립스 오리지날,30,49.5,4.95,0.51,2.86,0.31,25.39,0
P012759,포테이토 스틱,30,52.39,4.5,0.64,3.54,1.16,28.93,0
P012760,포테이토 스틱스,30,51.43,4.5,0.64,3.54,0,28.93,0
P012761,포테이토 크립스 사워크림 앤 어니언,30,45.64,5.46,0.71,2.35,0.32,39.21,0
P012762,포테이토 크립스 오리지널,30,46.61,5.27,0.8,2.47,0.22,54.96,0
P012763,포포카 또띨라 칩,30,45,6.43,0.64,1.61,0,33.75,0
P012764,폴리 ABC 젤리,10,31.5,7.51,0.45,0.01,0.73,1.02,0
P012765,폴리 레몬캔디,10,31.54,7.75,0.06,0,0.91,2.04,0
P012766,폴보론 쿠키앤크림,30,43.85,6,0.92,1.85,2.77,23.08,1.15
P012767,폴보론 클래식,30,43.85,5.77,0.92,1.85,2.08,10.38,2.31
P012768,폼스틱스 솔티드,30,48.6,4.68,0.54,3.24,0.25,46.8,0
P012769,폼스틱스 파프리카,30,48.6,4.68,0.54,3.24,0.25,64.8,0
P012770,폼스틱스 핫 앤 스파이시,30,46.5,4.5,0.54,3,0.25,51,0
P012771,푸시팝 오렌지향,10,4,1,0.01,0.01,0.75,1.06,0
P012772,푸치 가부키아게,30,48.15,5.13,0.45,2.88,5.13,46.35,0
P012773,푸치린 젤리빈스,10,3.85,0.92,0,0,0.6,0.08,0
P012774,풀리 후르츠,30,39.6,5.76,0.72,1.55,1.8,16.2,0
P012775,퓨레 구미 레몬맛,10,3.41,0.8,0.04,0,0.6,1.24,0
P012776,퓨레 구미 복숭아맛,10,3.46,0.83,0.04,0,0.83,1.07,0
P012777,퓨레 구미 콜라레몬맛,10,3.39,0.8,0.04,0,0.6,1.24,0
P012778,퓨레 구미 포도맛,10,3.43,0.8,0.04,0,0.64,1.07,0
P012779,퓨얼리데카던트 블루베리 치즈케익,70,61.25,11.27,0.49,2.06,8.82,14.7,0
P012780,퓨얼리데카던트 초코렛 옵세션,100,180,27,2,7,18.16,30,0
P012781,퓨얼리데카던트 프랄린피칸,100,175,28,2,8,18.16,40,0
P012782,프랜치 말차 파피로,30,43.65,6.46,0.56,1.73,2.03,7.2,0
P012783,프레쉬 살구향 태피,10,3.93,0.79,0,0.07,0.5,6.07,0
P012784,프레츨,30,34.92,6.75,1.08,0.41,0.25,0.14,0
P012785,프렌치 민트향 캔디,10,3.93,1,0,0,0.75,0.36,0
P012786,프렌치 프레첼,30,45,5.4,0.6,2.4,2.1,33,1.5
P012787,프로스테드 컵케익향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0
P012788,프로스티드 콘플레이크,30,33.6,7.8,0.6,0,0.9,51.9,0
P012789,프로폴리스 로젠지스,30,40.91,9.82,0,0,6.55,0,0
P012790,프룻츠 스키틀즈,10,4,0.93,0,0.05,0.75,0,0
P012791,프리마 토스트,30,39,6.6,0.9,1.05,1.5,45,0
P012792,프리마 토스트쿠키,30,39.6,6.6,0.9,1.05,1.5,45,0
P012793,프리지 팝 드롭스,10,3.89,0.94,0,0,0.75,0,0
P012794,프리토스 스쿱스,30,51.43,5.14,0.64,3.21,0,35.36,0
P012795,프릭세 바닐라향밀크 와퍼스틱,30,44.6,6.36,0.49,1.91,4.1,18.16,0.09
P012796,프릭세 티라미슈 와퍼스틱,30,46.26,6.93,0.5,2.07,4.13,8.22,0.09
P012797,프린세사 비스킷 어쏘트먼트,30,45.6,6,0.6,2.1,2.22,35.7,0
P012798,프링글스 갈릭버터맛,30,48.24,5.04,0.58,2.88,0.36,80.28,0
P012799,프링글스 갈릭솔트맛,30,48.96,5.04,0.72,2.88,0.36,57.6,0
P012800,프링글스 바베큐맛,30,48.21,4.82,0.32,2.89,0.64,43.39,0
P012801,프링글스 사우어크림 & 어니온맛,30,47.25,4.72,0.45,2.92,0.22,54,0
P012802,프링글스 사워크림 앤 양파,30,46.58,4.72,0.45,2.92,0.22,54,0
P012803,프링글스 사워크림 앤 어니언,30,48.21,4.82,0.32,2.89,0.32,61.07,0
P012804,프링글스 샤우어크림&오니온,30,48,4.8,0.3,3,0.3,60,0
P012805,프링글스 소금 & 후추맛,30,48.96,5.04,0.72,2.88,0.36,50.4,0
P012806,프링글스 소이버터맛,30,48.24,5.04,0.58,2.88,0.36,73.8,0
P012807,프링글스 스위트칠리맛,30,47.52,5.04,0.36,2.88,0.36,30.6,0
P012808,프링글스 양파맛,30,48.21,4.5,0.32,2.89,0.32,61.07,0
P012809,프링글스 양파맛,30,46.08,4.68,0.36,2.88,0.32,57.6,0
P012810,프링글스 오리지날,30,48.21,4.82,0.32,2.89,0.32,48.21,0
P012811,프링글스 오리지널,30,46.08,4.68,0.36,2.88,0.32,46.8,0
P012812,프링글스 오리지널,30,48.21,4.82,0.32,2.89,0.32,48.21,0
P012813,프링글스 체다치즈맛,30,48.21,4.82,0.32,2.89,0.32,51.43,0
P012814,프링글스 체다치즈맛,30,48.21,4.82,0.32,2.89,0.32,45,0
P012815,프링글스 체다치즈맛,30,46.08,4.68,0.36,2.88,0.32,64.8,0
P012816,프링글스 치즈맛,30,48.24,5.04,0.5,2.88,0.36,20.88,0
P012817,프링글스 토마토 & 갈릭맛,30,48.24,5.04,0.54,2.88,0.36,69.12,0
P012818,플라워모양 가프레테,30,36.99,7.29,0.54,0.63,0.25,11.7,0.45
P012819,플라이 뮤즐리 바 머렐로 위드 요거트,30,37.2,6.3,0.3,1.2,3.3,12,0
P012822,플래쉬 팝,10,3.82,1,0,0,0.75,0.74,0
P012823,플레인 브래드스틱,30,31.39,6.3,1.22,0.14,0.29,17.1,0
P012824,플레인 크래커,30,39.75,6.68,0.75,1.12,1.12,42.38,0
P012825,피 세트,30,51.75,4.82,0.68,3.3,2.9,9.36,8.01
P012826,피그 앤 오트 비스킷,30,45.81,6.12,0.47,2.16,2.59,27,0
P012827,피너츠 퍼지,30,42.6,6.6,0.6,1.5,3.38,18,0
P012828,피넛 쿠키,30,50.4,5.7,0.48,2.85,1.5,47.1,0.3
P012829,피넛 피스타 비스켓,30,46.12,6.07,0.68,2.14,1.99,15.75,0
P012830,피넛버터 샌드위치,30,48,5.4,0.6,2.4,1.8,27,0
P012831,피넛츠 피크 비스켓,30,45.75,6,0.75,2.25,1.99,7.88,0
P012832,피넛츠 샌드위치 비스킷,30,43.55,5.81,0.58,2.03,2.61,50.23,0
P012833,피롯테 프렌치 바닐라 롤와퍼,30,43.56,6.48,0.36,1.8,4.32,14.4,1.8
P012834,피쉬 크래커 카라멜,30,49.72,5.18,0.68,2.92,0.94,33.53,1.35
P012835,피쉬 크래커 커틀피쉬,30,49.72,5.18,0.68,2.92,0.94,33.53,1.35
P012836,피스타치오 & 석류 터키쉬딜라이트,10,4.08,0.9,0.02,0.05,0.6,0,0
P012837,피아또 치즈향 포테이토 크리스피,30,45,6.3,0.3,1.8,0.6,36,0
P012838,피아토스 로드하우스 바비큐,30,44.58,5.65,0.31,2.3,0.25,58.6,0
P012839,피아토스 양파맛 감자칩,30,44.82,5.69,0.29,2.38,0,32.99,0
P012840,피아토스 치즈,30,32.44,5.65,0.31,2.3,0.31,44.37,0
P012842,피아토스치즈,30,42.88,6.35,0.32,1.8,0.64,36,0
P012843,바베큐치킨피자 팬,150,533.25,3.83,26.77,20.92,0,1086.7,0
P012844,나포리 불고기피자,150,573.75,69.97,24.52,21.83,0,848.25,0
P012845,불고기피자 팬,150,652.5,3.6,30.83,34.42,7.8,1579.5,0
P012846,엑스트리마 팬,150,587.25,3.83,25.42,25.42,0,1311.7,0
P012847,치즈피자,150,623.25,6.3,23.85,28.8,0,1361.2,0
P012848,페퍼로니피자 팬,150,679.5,2.03,33.08,33.08,0,1552.5,0
P012849,월드컵피자,150,416.25,28.8,28.58,19.35,0,616.5,0
P012850,피지 딸기향 바이칼라 벨트,10,3.6,0.85,0.01,0.02,0.6,1.39,0
P012851,피지 라즈베리향 바이칼라 벨트,10,3.6,0.85,0.01,0.02,0.6,1.39,0
P012852,피지 수박향 바이칼라 벨트,10,3.67,0.86,0.01,0.02,0.6,1.4,0
P012853,피지 자이언트 콜라병모양 젤리,10,3.34,0.78,0.06,0,0.6,0.4,0
P012854,피지 콜라병모양 제리,10,3.34,0.78,0.06,0,0.6,0.4,0
P012855,피쮸짱 블루베리향,10,5.36,0.68,0.04,0.29,0.6,2.5,0
P012856,피쮸짱 초콜릿향,10,4.17,0.83,0.04,0.08,0.6,0.83,0.12
P012857,피치향 엔 크림향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0
P012858,피칸 베어 화이트,30,49.39,4.94,0.44,3.18,4.28,16.46,1.65
P012859,피콕 라이스 퍼프,30,52.43,4.46,0.47,3.64,0.23,19.37,0
P012860,피트 크래커,30,40.5,6.95,0.63,1.1,1.53,1.8,0
P012861,필로우 민트,10,3.33,0.83,0,0,0.75,0.28,0
P012862,필로우 페퍼민트맛,10,3.33,0.83,0,0,0.75,0.28,0
P012863,필링 쿠기스,10,4.9,0.7,0,0.23,0.3,2.5,0
P012864,하늘가 참깨엿강정,30,45,4.86,1.26,2.34,0.74,0.36,0
P012865,하리보 개구리모양 구미젤리,10,3.9,0.9,0.07,0,0.6,0.24,0
P012866,하리보 골드 곰모양 젤리,10,3.57,0.81,0.07,0,0.6,0,0
P012867,하리보 곰모양 구미젤리,10,3.21,0.75,0.06,0,0.6,0.57,0
P012868,하리보 딸기모양 구미젤리,10,3.59,0.82,0.08,0,0.6,0.13,0
P012869,하리보 미니개구리 모양 구미젤리,10,3.9,0.9,0.07,0,0.6,0.24,0
P012870,하리보 사워체리 모양 구미,10,3.49,0.8,0.06,0,0.6,0.29,0
P012871,하리보 산딸기향 구미젤리,10,3.59,8.62,0.03,0,0.6,0,0
P012872,하리보 슈퍼 콜라병 모양 구미 젤리,10,3.64,0.82,0.07,0,0.6,0,0
P012873,하리보 알파벳모양 구미젤리,10,3.43,0.77,0.09,0,0.6,0,0
P012874,하리보 자몽향 구미 젤리,10,3.9,0.93,0.05,0,0.6,0,0
P012875,하리보 지네모양 젤리,10,3.48,0.78,0.09,0,0.6,0.11,0
P012876,하리보 테크노 곰모양 젤리,10,3.25,0.77,0.08,0,0.6,0,0
P012877,하리보 트윈체리 모양 구미,10,2.94,0.74,0.06,0,0.6,0.88,0
P012878,하리보 핑크자몽향 구미 젤리,10,2.75,0.68,0,0,0.6,0.38,0
P012879,하리보 해피 콜라향 구미 젤리,10,3.57,0.81,0.07,0,0.6,0,0
P012880,하리보 흰동가리 물고기모양 젤리,10,3.08,0.74,0.08,0,0.6,0,0
P012881,하리보 복숭아향,10,3.71,0.86,0.07,0,0.6,0,0
P012882,하리보 복숭아향 구미,10,3.71,0.86,0.07,0,0.71,0,0
P012883,하리보 테크노베어스,10,4,0.87,0.13,0,0.6,0.33,0
P012884,하리보 트윈체리향,10,3.47,0.8,0.07,0,0.6,0,0
P012885,하리보 트윈체리향구미,10,3.47,0.8,0.07,0,0.6,0,0
P012886,하베스트 로스트 아몬드 비스킷,30,46.49,5.83,0.52,2.34,1.88,35.04,0
P012887,하베스트 버터 토스트 비스킷,30,45.2,6.05,0.51,2.11,2.09,47.53,0
P012888,하비스트 고소한맛,30,44.91,6.03,0.63,2.07,1.84,34.92,0.54
P012889,하비스트 오리지널,30,45.45,6.03,0.54,2.16,1.64,26.64,0.01
P012890,하비스트 치즈,30,44.46,6.03,0.63,1.98,1.91,40.5,0.02
P012891,하와이안 쿠키,30,46.8,6.12,0.72,2.16,2.3,23.4,0
P012892,하우스 쿠키,30,39.38,5.4,0.45,1.8,2.47,14.62,3.38
P012893,하이데 대추모양 캔디,10,2.75,0.7,0,0,0.75,0,0
P012894,하이디 캐슈넛쿠키,30,46.89,5.68,0.63,2.25,3.72,9,0
P012895,하이디 피넛쿠키,30,40.05,3,0.92,2.7,2.6,9,0
P012896,쇠고기 하이라이스,100,85,11.3,2,3.5,0,470,0
P012897,하이랜드 스톰 베리믹스,10,2.29,0.89,0.01,0.01,0,0,0
P012898,하이랜드 스톰 샤워,10,2.25,0.88,0.01,0.01,0,0,0
P012899,하이랜드 스톰 페퍼민트향,10,2.44,0.96,0.01,0.01,0,0,0
P012900,하이하인,30,33.79,7.86,0.34,0.1,0.73,16.81,0
P012901,하카아메,10,3.67,0.97,0,0,0.75,0,0
P012902,하크고프레 바닐라향 와퍼,30,41.79,5.79,0.32,1.93,2.57,3.21,0
P012903,하크고프레 코코아맛 와퍼,30,43.39,5.46,0.32,2.25,2.89,3.21,0
P012904,하크샌드빅 비스킷,30,40,5.75,0.25,1.75,2,7.5,0
P012905,하트 코치닐색,30,33.6,7.8,0.6,0,4.28,0.3,0
P012906,하트 코코아색,30,36.3,7.8,0.6,0.3,4.28,0.6,0
P012907,하트 하늘색,30,33.6,7.8,0.6,0,4.28,0.3,0
P012908,하트 황색,30,33.6,7.8,0.6,0,4.28,0.3,0
P012909,하프타임,30,46.8,6.12,0.72,2.16,2.16,10.8,0
P012910,한스 프레이텍 웨이퍼 롤스,30,45.77,4.83,0.57,2.67,2.31,51.43,1.29
P012911,한입 양갱 말차,50,70,16.5,1,0,4,0,0
P012912,한입 양갱 오구라,50,70,16.5,1,0,4,0,0
P012913,한입 양갱 혼네리,50,70,16.5,1,0,4,0,0
P012914,한진생 홍삼양갱,50,32.5,7.5,0.5,0,4.5,1.25,0
P012915,핫 꽃게랑,30,48.06,5.4,0.54,2.7,0.6,65.7,0.64
P012916,울퉁불퉁 핫도그,100,302,44.7,8.7,9.9,9.28,830,0
P012917,닭다리핫숯불바베큐,30,83.31,10.12,1.19,4.17,0.33,92.23,0
P012918,핫 초콜릿향 태피,30,35.36,7.07,0,0.64,4.5,54.64,0
P012919,핫키드과자,30,33.6,7.8,0.3,0.15,4.8,5.4,0
P012923,해바라기씨 버터 쿠키,30,46,3.6,1,3,1.4,20,6.2
P012925,해피 턴,30,47.1,6,0.39,2.4,0.78,45.6,0
P012932,해피베이비 퍼프 고구마맛,30,32.1,7.5,1.2,0,0.6,0,0
P012933,해피베이비 퍼프 고구마맛,30,36,7.8,1.2,0,0,0,0
P012934,해피베이비 퍼프 딸기맛,30,32.1,7.5,1.2,0,0.6,0,0
P012935,해피베이비 퍼프 딸기맛,30,36,7.8,1.2,0,0.6,0,0
P012936,해피베이비 퍼프 바나나맛,30,32.1,7.5,0,0,1.26,0,0
P012937,해피베이비 퍼프 바나나맛,30,36,7.8,1.2,0,0.6,1.2,0
P012938,해피베이비 퍼프 사과맛,30,32.1,7.5,1.2,0,0.6,0,0
P012939,해피베이비 퍼프 사과맛,30,36,7.8,1.2,0,0.6,3.6,0
P012940,"해피베이비 퍼프 시금치,케일맛",30,32.1,7.5,0,0,1.26,0,0
P012941,해피베이비 퍼프 야채맛,30,36,7.8,1.2,0,0.6,1.2,0
P012942,해피컵,30,45,4.5,0,1.86,1.93,9.64,0
P012944,불고기버거,150,600.75,0,20.25,33.75,13.03,742.5,0
P012945,불고기버거,150,600.75,24.3,28.35,43.42,0,1147.5,0
P012946,CRAB버거,150,263.25,46.8,14.62,2.03,0,1606.5,0
P012948,새우버거,150,567,56.47,16.42,24.3,7.75,1120.5,0
P012949,리브샌드,150,594,0,22.5,40.5,13.03,254.25,0
P012950,빅맥햄버거,150,1260,46.8,27,32.4,8.5,1113.7,0
P012951,실속햄버거,150,699.75,17.77,28.8,57.15,0,1179,0
P012952,햄버거,150,630,72.9,27.9,19.35,13.03,1242,0
P012953,햄버거,150,508.5,44.55,26.77,24.75,0,1102.5,0
P012954,치즈버거,150,720,66.15,28.35,24.52,5.27,1550.2,0
P012955,맥치킨버거,150,1125,42.08,25.42,24.52,8.5,1075.5,0
